condition_id,experiment,group,topic_index,run_index,lyra_gap,cipher_gap,lyra_own,cipher_own,coherence_mean,topic_drift_mean,drift_slope,sentiment_mean,sentiment_slope,sentiment_vol,lyra_sem_div,cipher_sem_div,lyra_ttr,cipher_ttr,global_ttr
modiso__llama-70b__t04__r02,modiso,llama-70b,4,2,-0.0657,0.3137,0.4672,0.6568,0.6321078211069107,0.5783856000219073,-0.0067964563896129575,0.3690761904761905,-0.032220259740259743,0.5784620536632845,0.45050954818725586,0.5409807562828064,0.4044213263979194,0.47920433996383366,0.3502269288956127
modiso__llama-70b__t04__r03,modiso,llama-70b,4,3,-0.0183,0.1845,0.4909,0.5922,0.5933340810239315,0.5981461192880358,-0.01371004902697228,0.5086333333333334,0.0064971428571428645,0.4818979612733022,0.44890156388282776,0.5467959046363831,0.4219948849104859,0.5172413793103449,0.3667736757624398
modiso__llama-70b__t05__r01,modiso,llama-70b,5,1,0.1999,0.2084,0.5999,0.6042,0.5275724325329065,0.4165779132218588,-0.005061009952000207,0.17185238095238098,-0.0023459740259740305,0.6194150524940736,0.6172071695327759,0.6461111903190613,0.42278481012658226,0.5099457504520796,0.36932241250930753
modiso__llama-70b__t05__r02,modiso,llama-70b,5,2,0.2543,0.2563,0.6272,0.6281,0.6248852059245109,0.4886208034697033,-0.00042590423450841514,0.39724761904761907,-0.0033985714285714353,0.4678545364279754,0.4430979788303375,0.5592515468597412,0.3835125448028674,0.4864864864864865,0.34749620637329287
modiso__llama-70b__t05__r03,modiso,llama-70b,5,3,0.241,0.4282,0.6205,0.7141,0.5193756926804781,0.37229543995289577,-0.01664789735109776,0.4646,0.0393074025974026,0.5146203751078949,0.596435546875,0.6455634832382202,0.3882783882783883,0.45090180360721444,0.3315629742033384
modiso__llama-70b__t06__r01,modiso,llama-70b,6,1,0.3543,0.0704,0.6772,0.5352,0.5317671220749617,0.48959954686108087,-0.018038601854017806,0.5525761904761904,0.005127662337662333,0.5346683341365418,0.59043288230896,0.5865378975868225,0.4064362336114422,0.4573502722323049,0.3474820143884892
modiso__llama-70b__t06__r02,modiso,llama-70b,6,2,0.3776,0.0027,0.6888,0.5013,0.611477318033576,0.5416540398838974,-0.013043512839388522,0.3881047619047619,-0.000521818181818183,0.4610537500698967,0.5678375363349915,0.546125054359436,0.39650872817955113,0.42641509433962266,0.3303303303303303
modiso__llama-70b__t06__r03,modiso,llama-70b,6,3,0.3827,-0.0311,0.6913,0.4845,0.5262862384319306,0.4919070147332691,0.002135276213868877,0.5548619047619047,0.0120222077922078,0.34393981820771036,0.5918779969215393,0.5806719064712524,0.37299771167048057,0.4700193423597679,0.32710280373831774
modiso__llama-70b__t07__r01,modiso,llama-70b,7,1,0.3918,0.3369,0.6959,0.6685,0.5699527861550451,0.44177420384117533,-0.006753135627353349,0.6789380952380951,0.00025207792207790797,0.2870804059860822,0.6516889333724976,0.6057932376861572,0.4222222222222222,0.5124760076775432,0.3673929376408715
modiso__llama-70b__t07__r02,modiso,llama-70b,7,2,0.2363,0.168,0.6182,0.584,0.5585110366344452,0.41577427958448726,-0.011436918000509208,0.5056333333333334,-0.022144545454545448,0.5171448303478975,0.5938588380813599,0.5898146629333496,0.4002361275088548,0.5389344262295082,0.36404494382022473
modiso__llama-70b__t07__r03,modiso,llama-70b,7,3,0.0527,0.2963,0.5263,0.6482,0.6047371953725815,0.4664596333390191,-0.008894364632569337,0.6716857142857142,-0.03679428571428571,0.43929381455946326,0.5082538723945618,0.49944740533828735,0.3839811542991755,0.4797794117647059,0.334529791816224
modiso__llama-8b__t00__r01,modiso,llama-8b,0,1,-0.0734,0.0667,0.4633,0.5334,0.5783736705780029,0.426197329447383,-0.0225379835862618,0.07594761904761904,0.009393506493506489,0.577893684915971,0.5970679521560669,0.5733060240745544,0.4018369690011481,0.4351687388987567,0.3333333333333333
modiso__llama-8b__t00__r02,modiso,llama-8b,0,2,-0.2104,0.2095,0.3948,0.6047,0.5281221747398377,0.434210690004485,-0.013439923292630674,0.1725952380952381,0.033050649350649344,0.5762571800822719,0.6324169039726257,0.5648572444915771,0.3997194950911641,0.4010327022375215,0.3222565687789799
modiso__llama-8b__t00__r03,modiso,llama-8b,0,3,-0.0504,0.3125,0.4748,0.6563,0.5697574853897095,0.5115977681818462,-0.011078523118774608,0.32584761904761905,0.00617844155844156,0.5379519491898771,0.5633732080459595,0.5368785262107849,0.40625,0.43189964157706096,0.34087481146304677
